Provinsi,Tahun,Curah_Hujan_mm
Aceh,2010,9.760027397260274
Aceh,2011,8.113917808219178
Aceh,2012,7.047021857923498
Aceh,2013,7.426931506849315
Aceh,2014,9.255835616438356
Aceh,2015,7.273260273972602
Aceh,2016,7.528934426229509
Aceh,2017,8.118712328767122
Aceh,2018,7.9940273972602744
Aceh,2019,5.6968493150684925
Aceh,2020,9.650054644808744
Aceh,2021,8.391068493150684
Aceh,2022,9.006876712328769
Aceh,2023,8.357397260273972
Aceh,2024,7.9336612021857915
Aceh,2025,8.337663817663818
BANTEN,2010,7.311643835616438
BANTEN,2011,4.255780821917808
BANTEN,2012,4.792459016393442
BANTEN,2013,7.733013698630137
BANTEN,2014,7.251369863013698
BANTEN,2015,5.705178082191781
BANTEN,2016,8.284453551912568
BANTEN,2017,7.464465753424658
BANTEN,2018,5.876849315068494
BANTEN,2019,5.314712328767123
BANTEN,2020,8.712704918032786
BANTEN,2021,8.477013698630138
BANTEN,2022,7.258328767123287
BANTEN,2023,4.966054794520548
BANTEN,2024,7.926857923497268
BANTEN,2025,8.467037037037036
BENGKULU,2010,9.700438356164383
BENGKULU,2011,6.056136986301371
BENGKULU,2012,6.85174863387978
BENGKULU,2013,9.089232876712328
BENGKULU,2014,7.633424657534246
BENGKULU,2015,7.041205479452055
BENGKULU,2016,9.352568306010928
BENGKULU,2017,9.271068493150684
BENGKULU,2018,8.561808219178083
BENGKULU,2019,5.954520547945206
BENGKULU,2020,10.56655737704918
BENGKULU,2021,9.217506849315068
BENGKULU,2022,10.744712328767124
BENGKULU,2023,5.496520547945206
BENGKULU,2024,10.144508196721311
BENGKULU,2025,10.165754985754985
Bali,2010,6.547671232876713
Bali,2011,4.438931506849316
Bali,2012,4.216229508196721
Bali,2013,5.484904109589041
Bali,2014,3.81613698630137
Bali,2015,3.1461643835616435
Bali,2016,5.637513661202186
Bali,2017,5.522082191780822
Bali,2018,3.946821917808219
Bali,2019,2.8969041095890407
Bali,2020,4.729808743169399
Bali,2021,6.510575342465754
Bali,2022,6.106794520547945
Bali,2023,3.8787945205479453
Bali,2024,4.910382513661203
Bali,2025,6.440142450142449
DI YOGYAKARTA,2010,7.014246575342465
DI YOGYAKARTA,2011,6.737945205479452
DI YOGYAKARTA,2012,5.4628688524590165
DI YOGYAKARTA,2013,7.127698630136987
DI YOGYAKARTA,2014,4.85813698630137
DI YOGYAKARTA,2015,4.105178082191781
DI YOGYAKARTA,2016,5.302295081967213
DI YOGYAKARTA,2017,6.755013698630137
DI YOGYAKARTA,2018,4.752054794520548
DI YOGYAKARTA,2019,4.144465753424657
DI YOGYAKARTA,2020,5.85292349726776
DI YOGYAKARTA,2021,5.981534246575341
DI YOGYAKARTA,2022,6.5818082191780825
DI YOGYAKARTA,2023,5.3997534246575345
DI YOGYAKARTA,2024,5.553497267759562
DI YOGYAKARTA,2025,6.128490028490028
DKI Jakarta,2010,8.015534246575342
DKI Jakarta,2011,4.770164383561644
DKI Jakarta,2012,5.043551912568306
DKI Jakarta,2013,8.291342465753425
DKI Jakarta,2014,8.045095890410959
DKI Jakarta,2015,5.320684931506849
DKI Jakarta,2016,7.700245901639344
DKI Jakarta,2017,7.060547945205479
DKI Jakarta,2018,4.989369863013699
DKI Jakarta,2019,5.160356164383561
DKI Jakarta,2020,7.359098360655738
DKI Jakarta,2021,8.079972602739726
DKI Jakarta,2022,6.431972602739727
DKI Jakarta,2023,4.450712328767123
DKI Jakarta,2024,6.552841530054645
DKI Jakarta,2025,8.063960113960114
GORONTALO,2010,5.674054794520549
GORONTALO,2011,6.033123287671233
GORONTALO,2012,5.716229508196721
GORONTALO,2013,5.954082191780823
GORONTALO,2014,3.784164383561644
GORONTALO,2015,2.8892328767123288
GORONTALO,2016,4.796256830601093
GORONTALO,2017,6.503260273972603
GORONTALO,2018,4.616520547945205
GORONTALO,2019,3.199835616438356
GORONTALO,2020,5.954043715846994
GORONTALO,2021,6.8476986301369855
GORONTALO,2022,7.0354246575342465
GORONTALO,2023,4.542191780821918
GORONTALO,2024,5.710792349726776
GORONTALO,2025,7.216495726495726
JAMBI,2010,7.877945205479452
JAMBI,2011,5.797041095890411
JAMBI,2012,5.926284153005464
JAMBI,2013,6.588958904109589
JAMBI,2014,5.401972602739726
JAMBI,2015,5.253506849315069
JAMBI,2016,5.97603825136612
JAMBI,2017,7.5321643835616445
JAMBI,2018,6.55876712328767
JAMBI,2019,5.569643835616438
JAMBI,2020,8.203114754098362
JAMBI,2021,7.416465753424658
JAMBI,2022,7.717095890410958
JAMBI,2023,6.919890410958905
JAMBI,2024,7.55448087431694
JAMBI,2025,7.111623931623932
Jawa Barat,2010,8.655917808219177
Jawa Barat,2011,5.664493150684931
Jawa Barat,2012,5.247459016393442
Jawa Barat,2013,7.445972602739727
Jawa Barat,2014,7.741452054794521
Jawa Barat,2015,7.129890410958904
Jawa Barat,2016,11.645437158469944
Jawa Barat,2017,9.046273972602739
Jawa Barat,2018,7.6656438356164385
Jawa Barat,2019,7.521068493150685
Jawa Barat,2020,11.33292349726776
Jawa Barat,2021,9.756
Jawa Barat,2022,9.368
Jawa Barat,2023,6.212958904109589
Jawa Barat,2024,10.367513661202185
Jawa Barat,2025,9.806809116809116
Jawa Tengah,2010,8.777780821917808
Jawa Tengah,2011,5.314547945205479
Jawa Tengah,2012,5.627049180327869
Jawa Tengah,2013,6.769397260273973
Jawa Tengah,2014,6.618301369863013
Jawa Tengah,2015,4.524082191780821
Jawa Tengah,2016,7.186557377049181
Jawa Tengah,2017,6.23013698630137
Jawa Tengah,2018,5.185534246575343
Jawa Tengah,2019,4.835369863013699
Jawa Tengah,2020,7.511202185792349
Jawa Tengah,2021,7.584
Jawa Tengah,2022,7.0711506849315064
Jawa Tengah,2023,4.6657534246575345
Jawa Tengah,2024,6.730710382513661
Jawa Tengah,2025,8.355954415954416
Jawa Timur,2010,7.503698630136986
Jawa Timur,2011,5.420191780821917
Jawa Timur,2012,3.9700819672131145
Jawa Timur,2013,6.531452054794521
Jawa Timur,2014,4.927561643835617
Jawa Timur,2015,4.809397260273973
Jawa Timur,2016,7.27639344262295
Jawa Timur,2017,5.62986301369863
Jawa Timur,2018,4.698301369863014
Jawa Timur,2019,4.463452054794521
Jawa Timur,2020,6.914207650273224
Jawa Timur,2021,6.691205479452055
Jawa Timur,2022,6.909808219178082
Jawa Timur,2023,6.519095890410959
Jawa Timur,2024,5.280819672131147
Jawa Timur,2025,7.445356125356126
KALIMANTAN BARAT,2010,11.968493150684932
KALIMANTAN BARAT,2011,8.449698630136986
KALIMANTAN BARAT,2012,9.648333333333333
KALIMANTAN BARAT,2013,9.714931506849315
KALIMANTAN BARAT,2014,7.4952876712328775
KALIMANTAN BARAT,2015,9.126821917808218
KALIMANTAN BARAT,2016,11.429699453551912
KALIMANTAN BARAT,2017,10.33295890410959
KALIMANTAN BARAT,2018,9.51723287671233
KALIMANTAN BARAT,2019,9.031232876712329
KALIMANTAN BARAT,2020,11.464153005464482
KALIMANTAN BARAT,2021,11.224465753424658
KALIMANTAN BARAT,2022,11.60082191780822
KALIMANTAN BARAT,2023,9.662849315068494
KALIMANTAN BARAT,2024,11.349617486338797
KALIMANTAN BARAT,2025,9.794786324786324
KALIMANTAN SELATAN,2010,9.517890410958906
KALIMANTAN SELATAN,2011,6.633890410958903
KALIMANTAN SELATAN,2012,6.849098360655738
KALIMANTAN SELATAN,2013,8.40441095890411
KALIMANTAN SELATAN,2014,6.051150684931507
KALIMANTAN SELATAN,2015,6.513945205479453
KALIMANTAN SELATAN,2016,7.321147540983606
KALIMANTAN SELATAN,2017,7.779424657534246
KALIMANTAN SELATAN,2018,7.777095890410958
KALIMANTAN SELATAN,2019,5.94517808219178
KALIMANTAN SELATAN,2020,10.681065573770491
KALIMANTAN SELATAN,2021,8.649616438356166
KALIMANTAN SELATAN,2022,8.374712328767123
KALIMANTAN SELATAN,2023,5.5435342465753426
KALIMANTAN SELATAN,2024,7.3734972677595625
KALIMANTAN SELATAN,2025,7.853789173789173
KALIMANTAN TENGAH,2010,12.009643835616439
KALIMANTAN TENGAH,2011,8.55931506849315
KALIMANTAN TENGAH,2012,8.127868852459017
KALIMANTAN TENGAH,2013,9.190328767123289
KALIMANTAN TENGAH,2014,7.687479452054794
KALIMANTAN TENGAH,2015,7.997972602739726
KALIMANTAN TENGAH,2016,10.026065573770492
KALIMANTAN TENGAH,2017,9.352438356164383
KALIMANTAN TENGAH,2018,7.826767123287671
KALIMANTAN TENGAH,2019,6.976657534246575
KALIMANTAN TENGAH,2020,8.649945355191257
KALIMANTAN TENGAH,2021,8.553808219178082
KALIMANTAN TENGAH,2022,9.306219178082191
KALIMANTAN TENGAH,2023,7.325698630136986
KALIMANTAN TENGAH,2024,9.805273224043717
KALIMANTAN TENGAH,2025,9.798091168091169
KALIMANTAN TIMUR,2010,7.731150684931507
KALIMANTAN TIMUR,2011,8.696082191780823
KALIMANTAN TIMUR,2012,8.05139344262295
KALIMANTAN TIMUR,2013,8.1593698630137
KALIMANTAN TIMUR,2014,6.611479452054795
KALIMANTAN TIMUR,2015,6.143178082191781
KALIMANTAN TIMUR,2016,8.182158469945355
KALIMANTAN TIMUR,2017,8.30172602739726
KALIMANTAN TIMUR,2018,7.642657534246576
KALIMANTAN TIMUR,2019,7.142602739726028
KALIMANTAN TIMUR,2020,8.559207650273224
KALIMANTAN TIMUR,2021,7.670602739726028
KALIMANTAN TIMUR,2022,7.857068493150685
KALIMANTAN TIMUR,2023,7.839835616438356
KALIMANTAN TIMUR,2024,8.519262295081967
KALIMANTAN TIMUR,2025,9.964814814814815
KALIMANTAN UTARA,2010,7.129506849315068
KALIMANTAN UTARA,2011,6.886328767123288
KALIMANTAN UTARA,2012,6.861666666666666
KALIMANTAN UTARA,2013,8.009506849315068
KALIMANTAN UTARA,2014,5.90041095890411
KALIMANTAN UTARA,2015,5.559534246575343
KALIMANTAN UTARA,2016,8.046775956284153
KALIMANTAN UTARA,2017,6.844739726027397
KALIMANTAN UTARA,2018,6.157945205479452
KALIMANTAN UTARA,2019,5.621561643835616
KALIMANTAN UTARA,2020,6.994262295081968
KALIMANTAN UTARA,2021,6.884630136986301
KALIMANTAN UTARA,2022,7.49668493150685
KALIMANTAN UTARA,2023,6.445315068493151
KALIMANTAN UTARA,2024,7.383825136612022
KALIMANTAN UTARA,2025,8.927037037037037
KEPULAUAN BANGKA BELITUNG,2010,9.36476712328767
KEPULAUAN BANGKA BELITUNG,2011,6.8110410958904115
KEPULAUAN BANGKA BELITUNG,2012,6.268715846994535
KEPULAUAN BANGKA BELITUNG,2013,8.29227397260274
KEPULAUAN BANGKA BELITUNG,2014,5.319945205479452
KEPULAUAN BANGKA BELITUNG,2015,4.580958904109589
KEPULAUAN BANGKA BELITUNG,2016,7.421120218579235
KEPULAUAN BANGKA BELITUNG,2017,6.467890410958905
KEPULAUAN BANGKA BELITUNG,2018,5.588986301369863
KEPULAUAN BANGKA BELITUNG,2019,5.478904109589041
KEPULAUAN BANGKA BELITUNG,2020,7.046092896174863
KEPULAUAN BANGKA BELITUNG,2021,6.474054794520549
KEPULAUAN BANGKA BELITUNG,2022,7.469698630136986
KEPULAUAN BANGKA BELITUNG,2023,4.643397260273972
KEPULAUAN BANGKA BELITUNG,2024,5.689125683060109
KEPULAUAN BANGKA BELITUNG,2025,6.603646723646724
KEPULAUAN RIAU,2010,7.10482191780822
KEPULAUAN RIAU,2011,8.124630136986301
KEPULAUAN RIAU,2012,6.732185792349727
KEPULAUAN RIAU,2013,6.932821917808219
KEPULAUAN RIAU,2014,5.890657534246576
KEPULAUAN RIAU,2015,4.155205479452055
KEPULAUAN RIAU,2016,6.585300546448087
KEPULAUAN RIAU,2017,6.927342465753425
KEPULAUAN RIAU,2018,5.910931506849316
KEPULAUAN RIAU,2019,5.579287671232877
KEPULAUAN RIAU,2020,7.317786885245901
KEPULAUAN RIAU,2021,8.357835616438356
KEPULAUAN RIAU,2022,8.617287671232877
KEPULAUAN RIAU,2023,8.340082191780823
KEPULAUAN RIAU,2024,8.041967213114754
KEPULAUAN RIAU,2025,10.82925925925926
LAMPUNG,2010,6.602301369863014
LAMPUNG,2011,4.386575342465753
LAMPUNG,2012,5.300983606557376
LAMPUNG,2013,7.704109589041096
LAMPUNG,2014,5.833643835616439
LAMPUNG,2015,4.559123287671233
LAMPUNG,2016,6.481311475409836
LAMPUNG,2017,5.1756164383561645
LAMPUNG,2018,4.97972602739726
LAMPUNG,2019,4.973479452054795
LAMPUNG,2020,7.192540983606557
LAMPUNG,2021,6.082465753424657
LAMPUNG,2022,5.392849315068493
LAMPUNG,2023,4.76758904109589
LAMPUNG,2024,5.5371311475409835
LAMPUNG,2025,6.838575498575499
MALUKU,2010,7.623369863013699
MALUKU,2011,8.192328767123287
MALUKU,2012,9.201256830601093
MALUKU,2013,8.933808219178083
MALUKU,2014,5.882328767123288
MALUKU,2015,3.600356164383562
MALUKU,2016,6.341311475409836
MALUKU,2017,9.421041095890411
MALUKU,2018,5.993232876712329
MALUKU,2019,5.158904109589041
MALUKU,2020,7.6406284153005455
MALUKU,2021,7.756493150684931
MALUKU,2022,8.963287671232877
MALUKU,2023,5.752219178082192
MALUKU,2024,8.068032786885245
MALUKU,2025,11.304387464387466
MALUKU UTARA,2010,8.131643835616439
MALUKU UTARA,2011,8.53386301369863
MALUKU UTARA,2012,6.586721311475409
MALUKU UTARA,2013,7.44786301369863
MALUKU UTARA,2014,5.1183287671232875
