Provinsi,Tanggal,Curah_Hujan_mm
Aceh,2010-01-01,0.0
Aceh,2010-01-02,4.05
Aceh,2010-01-03,63.81
Aceh,2010-01-04,3.01
Aceh,2010-01-05,69.13
Aceh,2010-01-06,76.66
Aceh,2010-01-07,8.76
Aceh,2010-01-08,0.06
Aceh,2010-01-09,0.0
Aceh,2010-01-10,20.52
Aceh,2010-01-11,9.34
Aceh,2010-01-12,0.08
Aceh,2010-01-13,2.19
Aceh,2010-01-14,16.04
Aceh,2010-01-15,10.87
Aceh,2010-01-16,0.26
Aceh,2010-01-17,0.0
Aceh,2010-01-18,45.49
Aceh,2010-01-19,1.74
Aceh,2010-01-20,0.96
Aceh,2010-01-21,14.23
Aceh,2010-01-22,4.02
Aceh,2010-01-23,12.87
Aceh,2010-01-24,4.35
Aceh,2010-01-25,0.08
Aceh,2010-01-26,0.1
Aceh,2010-01-27,0.59
Aceh,2010-01-28,35.57
Aceh,2010-01-29,0.98
Aceh,2010-01-30,0.22
Aceh,2010-01-31,0.02
Aceh,2010-02-01,31.54
Aceh,2010-02-02,7.54
Aceh,2010-02-03,2.8
Aceh,2010-02-04,2.96
Aceh,2010-02-05,2.96
Aceh,2010-02-06,8.93
Aceh,2010-02-07,0.96
Aceh,2010-02-08,11.88
Aceh,2010-02-09,18.42
Aceh,2010-02-10,7.88
Aceh,2010-02-11,0.53
Aceh,2010-02-12,0.15
Aceh,2010-02-13,6.72
Aceh,2010-02-14,7.23
Aceh,2010-02-15,9.57
Aceh,2010-02-16,1.61
Aceh,2010-02-17,3.54
Aceh,2010-02-18,1.37
Aceh,2010-02-19,0.27
Aceh,2010-02-20,1.18
Aceh,2010-02-21,4.61
Aceh,2010-02-22,0.18
Aceh,2010-02-23,28.9
Aceh,2010-02-24,4.4
Aceh,2010-02-25,0.33
Aceh,2010-02-26,0.02
Aceh,2010-02-27,1.25
Aceh,2010-02-28,8.84
Aceh,2010-03-01,33.88
Aceh,2010-03-02,2.28
Aceh,2010-03-03,6.88
Aceh,2010-03-04,1.4
Aceh,2010-03-05,35.52
Aceh,2010-03-06,1.59
Aceh,2010-03-07,0.0
Aceh,2010-03-08,0.0
Aceh,2010-03-09,4.09
Aceh,2010-03-10,1.74
Aceh,2010-03-11,0.04
Aceh,2010-03-12,0.49
Aceh,2010-03-13,0.44
Aceh,2010-03-14,0.72
Aceh,2010-03-15,21.51
Aceh,2010-03-16,1.28
Aceh,2010-03-17,0.0
Aceh,2010-03-18,1.57
Aceh,2010-03-19,0.48
Aceh,2010-03-20,13.15
Aceh,2010-03-21,5.39
Aceh,2010-03-22,14.43
Aceh,2010-03-23,25.06
Aceh,2010-03-24,10.37
Aceh,2010-03-25,3.16
Aceh,2010-03-26,0.0
Aceh,2010-03-27,0.3
Aceh,2010-03-28,20.21
Aceh,2010-03-29,1.07
Aceh,2010-03-30,1.17
Aceh,2010-03-31,0.6
Aceh,2010-04-01,11.22
Aceh,2010-04-02,27.22
Aceh,2010-04-03,11.81
Aceh,2010-04-04,0.87
Aceh,2010-04-05,27.06
Aceh,2010-04-06,5.81
Aceh,2010-04-07,0.15
Aceh,2010-04-08,18.28
Aceh,2010-04-09,12.66
Aceh,2010-04-10,1.98
Aceh,2010-04-11,0.0
Aceh,2010-04-12,0.32
Aceh,2010-04-13,37.5
Aceh,2010-04-14,10.34
Aceh,2010-04-15,1.56
Aceh,2010-04-16,0.0
Aceh,2010-04-17,0.01
Aceh,2010-04-18,0.18
Aceh,2010-04-19,0.08
Aceh,2010-04-20,0.01
Aceh,2010-04-21,3.42
Aceh,2010-04-22,44.71
Aceh,2010-04-23,3.16
Aceh,2010-04-24,3.89
Aceh,2010-04-25,51.04
Aceh,2010-04-26,5.29
Aceh,2010-04-27,105.25
Aceh,2010-04-28,2.85
Aceh,2010-04-29,0.18
Aceh,2010-04-30,0.62
Aceh,2010-05-01,3.08
Aceh,2010-05-02,0.82
