38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2011,2011,2011
ACEH,81.09,48.55,57.66
SUMATERA UTARA,81.63,47.88,64.23
SUMATERA BARAT,76.37,45.79,57.54
RIAU,82.53,57.46,67.1
JAMBI,78.85,52.18,60.11
SUMATERA SELATAN,77.01,48.25,58.11
BENGKULU,59.99,27.08,37
LAMPUNG,63.24,44.78,49.27
KEP. BANGKA BELITUNG,76.96,50.75,63.63
KEP. RIAU,88.45,43.9,81.19
DKI JAKARTA,91.25,-,91.25
JAWA BARAT,65.53,46.54,58.72
JAWA TENGAH,72.86,62.37,67.09
DI YOGYAKARTA,80.06,76.41,78.9
JAWA TIMUR,78.19,62.98,70.08
BANTEN,73.68,35.91,61.68
BALI,90.34,72.64,83.5
NUSA TENGGARA BARAT,66.7,47.52,55.35
NUSA TENGGARA TIMUR,76.36,47.35,53.03
KALIMANTAN BARAT,85.6,49.99,60.36
KALIMANTAN TENGAH,75.32,36.56,49.46
KALIMANTAN SELATAN,82.02,41.49,58.37
KALIMANTAN TIMUR,89.08,48.96,73.89
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,80.89,50.53,64.32
SULAWESI TENGAH,80.01,43.78,52.41
SULAWESI SELATAN,84.47,49.33,61.98
SULAWESI TENGGARA,83.19,56.79,63.9
GORONTALO,66.64,43.51,51.66
SULAWESI BARAT,75.22,31.66,41.04
MALUKU,71.05,49.12,57.64
MALUKU UTARA,85,43.05,54.37
PAPUA BARAT,88.17,56.55,65.59
PAPUA BARAT DAYA,-,-,-
PAPUA,78.12,26.76,39.43
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,75.81,52.31,63.95
