,Provinsi,Tahun_dt,Akses_Air(%),Curah_Hujan(mm),Kepadatan_Penduduk(jiwa/km2)
0,ACEH,2010-01-01,29.02,9.760027397260274,78
1,ACEH,2010-02-01,31.406666666666666,9.622851598173515,78
2,ACEH,2010-03-01,33.79333333333333,9.485675799086758,78
3,ACEH,2010-04-01,36.18,9.3485,78
4,ACEH,2010-05-01,38.56666666666666,9.211324200913241,79
5,ACEH,2010-06-01,40.95333333333333,9.074148401826484,79
6,ACEH,2010-07-01,43.339999999999996,8.936972602739726,79
7,ACEH,2010-08-01,45.72666666666666,8.799796803652967,79
8,ACEH,2010-09-01,48.11333333333333,8.66262100456621,79
9,ACEH,2010-10-01,50.5,8.525445205479452,80
10,ACEH,2010-11-01,52.88666666666666,8.388269406392693,80
11,ACEH,2010-12-01,55.273333333333326,8.251093607305936,80
12,ACEH,2011-01-01,57.66,8.113917808219178,80
13,ACEH,2011-02-01,57.52583333333333,8.025009812361205,80
14,ACEH,2011-03-01,57.391666666666666,7.936101816503231,80
15,ACEH,2011-04-01,57.25749999999999,7.847193820645257,80
16,ACEH,2011-05-01,57.12333333333333,7.758285824787285,80
17,ACEH,2011-06-01,56.98916666666666,7.669377828929311,80
18,ACEH,2011-07-01,56.855,7.580469833071337,80
19,ACEH,2011-08-01,56.72083333333333,7.491561837213364,81
20,ACEH,2011-09-01,56.586666666666666,7.402653841355391,81
21,ACEH,2011-10-01,56.4525,7.313745845497418,81
22,ACEH,2011-11-01,56.31833333333333,7.224837849639444,81
23,ACEH,2011-12-01,56.18416666666666,7.135929853781471,81
24,ACEH,2012-01-01,56.05,7.047021857923498,81
25,ACEH,2012-02-01,56.442499999999995,7.078680995333983,81
26,ACEH,2012-03-01,56.834999999999994,7.110340132744467,81
27,ACEH,2012-04-01,57.2275,7.141999270154952,82
28,ACEH,2012-05-01,57.62,7.173658407565437,82
29,ACEH,2012-06-01,58.012499999999996,7.205317544975921,82
30,ACEH,2012-07-01,58.405,7.236976682386406,82
31,ACEH,2012-08-01,58.7975,7.268635819796891,82
32,ACEH,2012-09-01,59.19,7.300294957207376,82
33,ACEH,2012-10-01,59.582499999999996,7.331954094617861,82
34,ACEH,2012-11-01,59.974999999999994,7.363613232028346,83
35,ACEH,2012-12-01,60.3675,7.39527236943883,83
36,ACEH,2013-01-01,60.76,7.426931506849315,83
37,ACEH,2013-02-01,60.59166666666667,7.5793401826484015,83
38,ACEH,2013-03-01,60.42333333333333,7.731748858447489,83
39,ACEH,2013-04-01,60.254999999999995,7.884157534246575,84
40,ACEH,2013-05-01,60.086666666666666,8.036566210045661,84
41,ACEH,2013-06-01,59.91833333333334,8.188974885844749,84
42,ACEH,2013-07-01,59.75,8.341383561643836,84
43,ACEH,2013-08-01,59.58166666666666,8.493792237442921,84
44,ACEH,2013-09-01,59.413333333333334,8.646200913242009,84
45,ACEH,2013-10-01,59.245000000000005,8.798609589041096,84
46,ACEH,2013-11-01,59.07666666666667,8.951018264840183,85
47,ACEH,2013-12-01,58.90833333333333,9.103426940639268,85
