Tahun,Provinsi,Akses_Air(%),Curah_Hujan(mm),Kepadatan_Penduduk(jiwa/km2)
2010-01-01,ACEH,29.02,9.760027397260274,78.0
2011-01-01,ACEH,57.66,8.113917808219178,80.0
2012-01-01,ACEH,56.05,7.047021857923498,81.0
2013-01-01,ACEH,60.76,7.426931506849315,83.0
2014-01-01,ACEH,58.74,9.255835616438356,85.0
2015-01-01,ACEH,61.23,7.273260273972602,86.0
2016-01-01,ACEH,63.31,7.528934426229509,88.0
2017-01-01,ACEH,64.85,8.118712328767122,90.0
2018-01-01,ACEH,66.48,7.994027397260274,91.0
2019-01-01,ACEH,85.81,5.6968493150684925,93.0
2020-01-01,ACEH,87.66,9.650054644808744,91.0
2021-01-01,ACEH,88.79,8.391068493150684,92.0
2022-01-01,ACEH,89.7,9.006876712328769,95.0
2023-01-01,ACEH,89.74,8.357397260273972,96.0
2024-01-01,ACEH,90.08,7.933661202185791,98.0
2025-01-01,ACEH,92.06,8.337663817663818,99.0
2010-01-01,BALI,48.44,6.547671232876713,676.0
2011-01-01,BALI,83.5,4.438931506849316,685.0
2012-01-01,BALI,88.87,4.216229508196721,693.0
2013-01-01,BALI,88.59,5.484904109589041,702.0
2014-01-01,BALI,89.09,3.81613698630137,710.0
2015-01-01,BALI,91.27,3.1461643835616435,718.0
2016-01-01,BALI,88.71,5.637513661202186,727.0
2017-01-01,BALI,90.85,5.522082191780822,735.0
2018-01-01,BALI,90.9,3.946821917808219,743.0
2019-01-01,BALI,96.84,2.8969041095890407,750.0
2020-01-01,BALI,97.36,4.729808743169399,747.0
2021-01-01,BALI,97.56,6.510575342465754,755.0
2022-01-01,BALI,98.42,6.106794520547945,790.0
2023-01-01,BALI,98.31,3.878794520547945,788.0
2024-01-01,BALI,98.32,4.910382513661203,793.0
2025-01-01,BALI,98.75,6.440142450142449,798.0
2010-01-01,BANTEN,22.32,7.311643835616438,1106.0
2011-01-01,BANTEN,61.68,4.255780821917808,1133.0
2012-01-01,BANTEN,62.51,4.792459016393442,1159.0
2013-01-01,BANTEN,65.57,7.733013698630137,1185.0
2014-01-01,BANTEN,66.6,7.251369863013698,1211.0
2015-01-01,BANTEN,67.68,5.705178082191781,1237.0
2016-01-01,BANTEN,67.47,8.284453551912568,1263.0
2017-01-01,BANTEN,66.11,7.464465753424658,1288.0
2018-01-01,BANTEN,72.83,5.876849315068494,1313.0
2019-01-01,BANTEN,91.64,5.314712328767123,1338.0
2020-01-01,BANTEN,92.87,8.712704918032786,1232.0
2021-01-01,BANTEN,93.51,8.477013698630138,1248.0
2022-01-01,BANTEN,92.71,7.258328767123287,1310.0
2023-01-01,BANTEN,92.95,4.966054794520548,1316.0
2024-01-01,BANTEN,94.01,7.926857923497268,1329.0
2025-01-01,BANTEN,96.03,8.467037037037036,1341.0
