"ref_area.label","source.label","indicator.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",3662.819,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",84.396,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",1934.367,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",920.423,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",32.49,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2021",626.674,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2021",802.425,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",583.215,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2021",1290.876,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2021",114.608,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
