Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
ACEH,24.74,30.68,29.02,2010
ACEH,81.09,48.55,57.66,2011
ACEH,80.64,46.59,56.05,2012
ACEH,84.75,51.42,60.76,2013
ACEH,81.05,49.91,58.74,2014
ACEH,81.71,53.27,61.23,2015
ACEH,83.08,55.34,63.31,2016
ACEH,85.91,55.91,64.85,2017
ACEH,85.03,58.04,66.48,2018
ACEH,95.2,81.27,85.81,2019
ACEH,96.51,83.42,87.66,2020
ACEH,94.34,86.03,88.79,2021
ACEH,95.36,86.77,89.7,2022
ACEH,95.05,86.79,89.74,2023
ACEH,95,87.41,90.08,2024
ACEH,95.57,90.11,92.06,2025
BALI,37.77,65.47,48.44,2010
BALI,90.34,72.64,83.5,2011
BALI,91.08,85.43,88.87,2012
BALI,93.99,79.91,88.59,2013
BALI,93.42,81.92,89.09,2014
BALI,94.51,86.01,91.27,2015
BALI,93.41,80.36,88.71,2016
BALI,93.92,85.15,90.85,2017
BALI,94.8,82.98,90.9,2018
BALI,99.19,91.55,96.84,2019
BALI,99.15,93.25,97.36,2020
BALI,98.77,94.55,97.56,2021
BALI,99.06,96.89,98.42,2022
BALI,99.12,96.5,98.31,2023
BALI,99.16,96.08,98.32,2024
BALI,99.41,96.86,98.75,2025
BANTEN,22.19,22.61,22.32,2010
BANTEN,73.68,35.91,61.68,2011
BANTEN,74.42,37.15,62.51,2012
BANTEN,77.27,40.36,65.57,2013
BANTEN,77.8,41.95,66.6,2014
BANTEN,78.72,43.75,67.68,2015
BANTEN,78.72,41.95,67.47,2016
BANTEN,74.95,44.76,66.11,2017
BANTEN,81.85,50.15,72.83,2018
BANTEN,98.4,73.96,91.64,2019
BANTEN,97.9,79.79,92.87,2020
BANTEN,98.1,81.82,93.51,2021
BANTEN,96.95,79.74,92.71,2022
BANTEN,96.22,81.33,92.95,2023
BANTEN,96.22,84.89,94.01,2024
BANTEN,98.7,83.64,96.03,2025
BENGKULU,37.02,24.37,28.23,2010
BENGKULU,59.99,27.08,37,2011
BENGKULU,62.94,27.71,38.45,2012
BENGKULU,62.21,29.45,39.3,2013
BENGKULU,60.42,27.14,37.47,2014
BENGKULU,66.83,30.06,41.08,2015
BENGKULU,55.34,29.26,37.35,2016
BENGKULU,68.43,32.1,43.83,2017
BENGKULU,67.04,41.02,49.37,2018
BENGKULU,73.42,49.81,57.6,2019
BENGKULU,75.31,56.14,62.47,2020
BENGKULU,81.85,60.35,67.39,2021
BENGKULU,83.75,67.9,73.07,2022
BENGKULU,79.33,69.84,73.08,2023
BENGKULU,80.24,68.06,72.1,2024
BENGKULU,78.21,66.58,70.47,2025
DI YOGYAKARTA,54.5,73.12,60.41,2010
DI YOGYAKARTA,80.06,76.41,78.9,2011
DI YOGYAKARTA,78.7,74.12,77.25,2012
DI YOGYAKARTA,82.76,70.23,78.81,2013
DI YOGYAKARTA,79.91,71.62,77.28,2014
DI YOGYAKARTA,79.27,84.7,80.99,2015
DI YOGYAKARTA,80.37,82.61,81.04,2016
DI YOGYAKARTA,77.54,76.29,77.19,2017
DI YOGYAKARTA,78.25,87.25,80.62,2018
DI YOGYAKARTA,96.85,89.16,94.94,2019
DI YOGYAKARTA,96.76,93.81,96.02,2020
DI YOGYAKARTA,96.46,93.23,95.69,2021
DI YOGYAKARTA,97.49,93.34,96.5,2022
DI YOGYAKARTA,97.1,95.44,96.69,2023
DI YOGYAKARTA,97.05,96.44,96.91,2024
DI YOGYAKARTA,98.44,93.61,97.33,2025
DKI JAKARTA,28.41,-,28.41,2010
DKI JAKARTA,91.25,-,91.25,2011
DKI JAKARTA,92.77,-,92.77,2012
DKI JAKARTA,92.64,-,92.64,2013
DKI JAKARTA,92.1,-,92.1,2014
DKI JAKARTA,93.4,-,93.4,2015
DKI JAKARTA,92.44,-,92.44,2016
DKI JAKARTA,88.93,-,88.93,2017
DKI JAKARTA,89.59,-,89.59,2018
DKI JAKARTA,99.82,-,99.82,2019
DKI JAKARTA,99.84,-,99.84,2020
DKI JAKARTA,99.86,-,99.86,2021
DKI JAKARTA,97.93,-,97.93,2022
DKI JAKARTA,99.42,-,99.42,2023
DKI JAKARTA,99.96,-,99.96,2024
DKI JAKARTA,99.98,-,99.98,2025
GORONTALO,47.1,36.4,40.09,2010
GORONTALO,66.64,43.51,51.66,2011
GORONTALO,71.72,45.79,54.62,2012
GORONTALO,68.91,50.68,56.8,2013
GORONTALO,77.36,55.87,63.3,2014
GORONTALO,79.32,59.68,66.47,2015
GORONTALO,82.85,65.13,71.59,2016
GORONTALO,85.13,68.99,75,2017
GORONTALO,88.52,72.8,78.99,2018
GORONTALO,96.61,92.37,94.19,2019
GORONTALO,97.94,91.3,94.16,2020
GORONTALO,99.07,91.12,94.57,2021
GORONTALO,99.04,93.86,96.16,2022
GORONTALO,99.28,93.21,96,2023
GORONTALO,99.28,93.37,96.13,2024
GORONTALO,98.89,93.27,95.95,2025
JAMBI,54.14,45.78,48.28,2010
JAMBI,78.85,52.18,60.11,2011
JAMBI,84.47,53.23,62.47,2012
JAMBI,82.09,53.26,61.73,2013
JAMBI,86.68,51.8,62.01,2014
JAMBI,83.87,54.16,62.75,2015
JAMBI,82.62,55.02,63.23,2016
JAMBI,84.58,57.54,65.73,2017
JAMBI,84.94,58.35,66.66,2018
JAMBI,89.78,70.9,76.92,2019
JAMBI,94.59,71.77,78.86,2020
JAMBI,90.08,74.84,79.7,2021
JAMBI,90.66,73.78,79.19,2022
JAMBI,91.57,74.11,80.02,2023
JAMBI,89.6,78.54,82.16,2024
JAMBI,92.2,77.76,82.46,2025
JAWA BARAT,34.35,37.04,35.32,2010
JAWA BARAT,65.53,46.54,58.72,2011
JAWA BARAT,68.09,46.32,60.31,2012
JAWA BARAT,71.56,48.72,63.5,2013
JAWA BARAT,73.68,49.22,65.01,2014
JAWA BARAT,74.52,53.2,67.2,2015
JAWA BARAT,73.85,54.65,67.62,2016
JAWA BARAT,76.26,56.7,70.5,2017
JAWA BARAT,75.86,58.35,71.06,2018
JAWA BARAT,95.62,82.28,92.3,2019
JAWA BARAT,95.99,85.62,93.42,2020
JAWA BARAT,96.1,83.94,93.24,2021
JAWA BARAT,94.99,86.32,93.04,2022
JAWA BARAT,96.18,85.62,93.86,2023
JAWA BARAT,96.47,89.02,94.9,2024
JAWA BARAT,97.37,90.01,95.84,2025
JAWA TENGAH,58.63,56.49,57.44,2010
JAWA TENGAH,72.86,62.37,67.09,2011
JAWA TENGAH,72.96,62.42,67.14,2012
JAWA TENGAH,75.81,64.47,69.58,2013
JAWA TENGAH,77.33,65.97,71.11,2014
JAWA TENGAH,79.29,68.94,73.63,2015
JAWA TENGAH,80.8,72.46,76.3,2016
JAWA TENGAH,79.85,72.53,76.09,2017
JAWA TENGAH,81.4,74.83,78.16,2018
JAWA TENGAH,96.68,90.9,93.82,2019
JAWA TENGAH,96.93,91.12,94.07,2020
JAWA TENGAH,96.9,90.18,93.62,2021
JAWA TENGAH,96.78,89.56,93.32,2022
JAWA TENGAH,96.43,90.76,93.76,2023
JAWA TENGAH,97.95,92.65,95.43,2024
JAWA TENGAH,97.94,93.27,95.73,2025
JAWA TIMUR,47.95,57.26,52.94,2010
JAWA TIMUR,78.19,62.98,70.08,2011
JAWA TIMUR,78.41,63.28,70.33,2012
JAWA TIMUR,81.74,69.44,75.19,2013
JAWA TIMUR,82.33,69.69,75.64,2014
JAWA TIMUR,82.32,71.55,76.64,2015
JAWA TIMUR,80.7,71.26,75.83,2016
JAWA TIMUR,80.22,70.7,75.54,2017
JAWA TIMUR,79.74,70.27,75.2,2018
JAWA TIMUR,97.2,91.18,94.39,2019
JAWA TIMUR,98,92.79,95.56,2020
JAWA TIMUR,97.17,92.47,95.02,2021
JAWA TIMUR,96.89,92.76,95.05,2022
JAWA TIMUR,97.53,94.1,96.01,2023
JAWA TIMUR,98.48,94.97,96.93,2024
JAWA TIMUR,98.6,95.63,97.3,2025
KALIMANTAN BARAT,67.54,48.98,54.47,2010
KALIMANTAN BARAT,85.6,49.99,60.36,2011
KALIMANTAN BARAT,88.1,49.5,60.7,2012
KALIMANTAN BARAT,85.57,56.19,64.7,2013
KALIMANTAN BARAT,84.01,54.49,63.04,2014
KALIMANTAN BARAT,89.5,59.56,68.39,2015
KALIMANTAN BARAT,86.38,57.35,66.19,2016
KALIMANTAN BARAT,86.95,60.59,68.77,2017
KALIMANTAN BARAT,90.49,64.27,72.88,2018
KALIMANTAN BARAT,91.38,69.42,77.07,2019
KALIMANTAN BARAT,91.3,72.27,78.83,2020
KALIMANTAN BARAT,87.79,73.83,78.76,2021
KALIMANTAN BARAT,88.86,75.65,80.43,2022
KALIMANTAN BARAT,89.21,77.76,82.08,2023
KALIMANTAN BARAT,90.37,77.08,82.13,2024
KALIMANTAN BARAT,92.18,79.47,84.32,2025
KALIMANTAN SELATAN,67.18,35.94,48.97,2010
KALIMANTAN SELATAN,82.02,41.49,58.37,2011
